time_min,response_mAU
0.0,29.9852
0.1,29.9352
0.2,30.2244
0.3,30.3517
0.4,30.3588
0.5,29.9258
0.6,30.4730
0.7,30.1845
0.8,30.5240
0.9,30.3970
1.0,30.3493
1.1,30.0646
1.2,30.3493
1.3,30.4955
1.4,30.2725
1.5,30.5788
1.6,30.7630
1.7,30.2936
1.8,30.3683
1.9,30.5567
2.0,30.6049
2.1,30.9222
2.2,30.8397
2.3,30.5221
2.4,30.6768
2.5,31.0230
2.6,31.0356
2.7,30.5842
2.8,30.9159
2.9,30.9606
3.0,30.7223
3.1,30.9104
3.2,31.1517
3.3,31.1511
3.4,31.0530
3.5,30.7436
3.6,31.2746
3.7,31.1778
3.8,31.1880
3.9,31.4278
4.0,31.0936
4.1,30.9491
4.2,30.9502
4.3,31.3803
4.4,31.2329
4.5,31.5331
4.6,31.4951
4.7,31.5216
4.8,31.5624
4.9,31.1435
5.0,31.3360
5.1,31.3294
5.2,31.5704
5.3,31.8132
5.4,31.6269
5.5,31.6005
5.6,31.6921
5.7,31.4679
5.8,31.9325
5.9,31.8693
6.0,31.8171
6.1,31.9706
6.2,31.7345
6.3,31.7311
6.4,32.1122
6.5,31.8776
6.6,31.8292
6.7,32.0201
6.8,32.0765
6.9,31.7114
7.0,32.1362
7.1,32.2378
7.2,31.7727
7.3,31.9245
7.4,32.1297
7.5,32.0556
7.6,32.0919
7.7,32.4253
7.8,32.1215
7.9,32.2532
8.0,32.1154
8.1,32.2866
8.2,32.2747
8.3,32.4179
8.4,32.3062
8.5,32.0077
8.6,32.3292
8.7,32.5546
8.8,32.5071
8.9,32.2537
9.0,32.3763
9.1,32.5118
9.2,32.2066
9.3,32.6108
9.4,32.6188
9.5,32.7823
9.6,32.6786
9.7,32.3232
9.8,32.7472
9.9,32.7536
10.0,32.3515
10.1,32.4807
10.2,32.3759
10.3,32.3765
10.4,32.8460
10.5,32.9210
10.6,32.6765
10.7,32.9435
10.8,32.5213
10.9,32.9414
11.0,33.0571
11.1,32.9802
11.2,32.4927
11.3,32.9369
11.4,32.7347
11.5,33.0149
11.6,32.6961
11.7,32.7080
11.8,33.1316
11.9,32.7559
12.0,32.9467
12.1,33.0731
12.2,32.9072
12.3,32.9943
12.4,33.0598
12.5,32.7670
12.6,32.8421
12.7,33.1873
12.8,33.0754
12.9,32.7747
13.0,33.0713
13.1,33.1951
13.2,32.7724
13.3,32.8816
13.4,32.9626
13.5,32.9049
13.6,32.8378
13.7,32.7963
13.8,33.1975
13.9,33.1192
14.0,33.0324
14.1,33.0633
14.2,32.8656
14.3,32.8959
14.4,33.2231
14.5,33.1332
14.6,33.2809
14.7,33.1707
14.8,33.0081
14.9,33.3591
15.0,33.4435
15.1,33.0592
15.2,33.4804
15.3,32.9184
15.4,33.1225
15.5,33.2942
15.6,33.5077
15.7,33.1890
15.8,33.0441
15.9,33.1069
16.0,33.0203
16.1,33.0860
16.2,32.9849
16.3,32.9939
16.4,33.3829
16.5,33.5430
16.6,33.1316
16.7,33.4993
16.8,33.5510
16.9,33.4512
17.0,33.2397
17.1,33.4708
17.2,33.1989
17.3,33.3282
17.4,33.6126
17.5,33.3078
17.6,33.5275
17.7,33.2105
17.8,33.4821
17.9,33.4816
18.0,33.7002
18.1,33.6689
18.2,33.6028
18.3,33.8050
18.4,34.4891
18.5,34.6323
18.6,34.4468
18.7,35.0914
18.8,35.6413
18.9,35.6561
19.0,36.2428
19.1,36.7925
19.2,37.8674
19.3,38.6867
19.4,39.7884
19.5,40.6608
19.6,41.8587
19.7,43.5019
19.8,45.8189
19.9,47.5623
20.0,50.0917
20.1,52.5930
20.2,56.1725
20.3,59.8589
20.4,63.5444
20.5,68.1441
20.6,73.6977
20.7,79.0314
20.8,85.5498
20.9,93.0877
21.0,100.9676
21.1,109.6551
21.2,119.2461
21.3,129.9837
21.4,141.6292
21.5,153.9941
21.6,167.3682
21.7,181.9439
21.8,197.8402
21.9,214.6696
22.0,232.6751
22.1,251.3185
22.2,271.5999
22.3,292.6380
22.4,314.9720
22.5,337.8009
22.6,361.8565
22.7,386.6024
22.8,412.0731
22.9,438.1106
23.0,464.4771
23.1,490.9892
23.2,518.2265
23.3,545.0750
23.4,572.0146
23.5,598.3587
23.6,624.0058
23.7,649.0860
23.8,673.3938
23.9,696.5549
24.0,718.4374
24.1,738.8197
24.2,757.3712
24.3,774.7270
24.4,789.7261
24.5,802.7600
24.6,813.3239
24.7,821.8802
24.8,827.8136
24.9,831.2447
25.0,832.6673
25.1,831.6654
25.2,828.0157
25.3,821.9045
25.4,812.9556
25.5,802.3459
25.6,789.2646
25.7,774.1137
25.8,757.2643
25.9,738.3745
26.0,718.4588
26.1,696.0536
26.2,673.3395
26.3,648.7358
26.4,623.8314
26.5,597.8979
26.6,571.4053
26.7,544.5771
26.8,517.9410
26.9,490.7186
27.0,463.8175
27.1,437.3919
27.2,411.2416
27.3,386.0121
27.4,360.9847
27.5,337.6016
27.6,313.9377
27.7,291.9253
27.8,270.9790
27.9,250.8052
28.0,232.0172
28.1,213.7722
28.2,197.0561
28.3,181.3388
28.4,166.8330
28.5,152.8373
28.6,140.5802
28.7,128.6896
28.8,118.6316
28.9,108.9033
